isin,ticker,name
FR0010429068,LYM7,LYXOR MSCI E.M.U.ETF C-EO
GB00B1XZS820,NGLB,"ANGLO AMERICAN DL-,54945"
IE00B4L60045,EUNT,ISHSIII-EO C.BD 1-5YR EOD
IE00B53QG562,SXR7,ISHSVII-MSCI EMU EO ACC
LU0274208692,DBXW,DB X-TR.MSCI WLD.IDX.1C
LU0328475792,DX2X,DB X-TR.S.E.600U.E.(DR)1C
US5949181045,MSF,"MICROSOFT    DL-,00000625"
US7415034039,PCE1,"PRICELINE GRP INC.DL-,008"
AT0000A00Y78,O2C,PETRO WELT TECHNOLOGIE.AG
AT0000730007,AZ2,ANDRITZ AG
CH0012032048,RHO5,ROCHE HLDG AG GEN.
DE000A0CAYB2,WIN,DIEBOLD NIXDORF  INH.O.N.
DE000A0JQ5U3,M5Z,MANZ AG
DE000ETFL441,ELF1,DEKA MDAX
DE0006972508,PBY,PUBLITY AG NA O.N.
DE0007775231,WUG3,WESTAG + GETALIT VZO O.N.
FR0010869578,LYQK,LYX.D.DOU.SH.BUND U.ETF A
FR0010892216,6AQQ,AMUNDI ETF NASDAQ-100
IE00B1FZS798,IUSM,ISHSII-DLT.BD7-10YR DLDIS
IE00B1XNHC34,IQQH,ISHSII-GL.CL.ENERGY DLDIS
LU0378449770,C011,COMST.-NASDAQ-100 U.ETF I
LU1296758029,CCAP,CORESTATE CAPITAL HLDG
NL0011821202,INN1,"ING GROEP NV      EO -,01"
US0846707026,BRYN,"BERKSH. H.B NEW DL-,00333"
US8552441094,SRB,STARBUCKS CORP.
DE000JST4000,JST,JOST WERKE AG INH.   O.N.
AT0000606306,RAW,RAIFFEISEN BK INTL INH.
CA0679011084,ABR,BARRICK GOLD CORP.
DE000A0X8994,DEL2,ETFS DAX DLY 2X LG GO DZ
DE000ETF9033,E903,COMSTAGE 1-DIVDAX U.ETF I
DE000A1C9KL8,H4ZJ,HSBC MSCI WORLD UC.ETF DZ
FR0000131906,RNL,"RENAULT INH.      EO 3,81"
FR0010312124,LYYC,LYX.MSCI AC APXJ.UETF CEO
IE00B4L5ZY03,EUNS,ISHSIII-EO CBX-F1-5YR EOD
